input	gold
はちでぃーははちつのほうこうからおとがきこえるっていみですって	8Dは8つの方向から音が聞こえるって意味ですって
めがまわるからひつようないです	目が回るから必要ないです
どらまとかいちにいみがあるばあいにかぎってよさそれです	ドラマとか位置に意味がある場合に限って良さそいです
いまのはちでぃーとかはぐるぐるまわっているだけなのですよ	今の８Dとかはぐるぐる回っているだけなんですよ
おんがくが	音楽が
りったいおんきょうのえいがみたいかも	立体音響の映画みたいかも
でもむりょうだとなさそう	でも無料だとなさそう
ふつうにさらうんどにはたいおうしてないのですか	普通にサラウンドには対応してないんですか
ふつうのさらうんどとは	普通のサラウンドとは
うしろからきこえるやつわらい	後ろから聞こえるやつ笑
どういうせっていにすればよいのかよくわからないです	どういう設定にすればいいのかよくわからないです
ちなみにおんげんがりったいじゃなければにちゃんねるです	ちなみに音源が立体じゃなければ2チャンネルです
りったいおんげんはふつうにはないのでこまらないです	立体音源はふつうにはないので困らないです
はちでぃーいちろくでぃーはりったいかんをしってしまうとさんでぃーがふつうにきこえるのですがこれがさらうんど	８D１６Dは立体感を知ってしまうと３Dが普通に聞こえるんですがこれがサラウンド
すてれお	ステレオ
ものらるとはちがうのはわかるのですがいまいちよくわからないですね	モノラルとは違うのは分かるんですがいまいちよく分からないですね
おーきくちがうとわかるのですがこまかなちがいがわからない	大きく違うと分かるんですがこまかな違いがワカラナイ
そうですねはちでぃーできてさらうんどたいおうしないのとかよくわかりません	そうですね8Dできてサラウンド対応しないのとかよくわかりません
やりたいことはおなじきがするのに	やりたいことは同じ気がするのに
さらうんどたいおうさゆうとうしろからきこえる	サラウンド対応左右と後ろから聞こえる
うえとかいろんなほうこうから	上とかいろんな方向から
はちでぃーさらうんど	８Dサラウンド
ちがうみたいです	違うみたいです
えいがとかがたいおうするのはさらうんどですね	映画とかが対応するのはサラウンドですね
さらうんどというせっていがないのです	サラウンドという設定がないのです
あとものらるおーえぬのすいっちがあるくらいですね	あとモノラルONのスイッチがあるくらいですね
けんさくしてもないのでやはりさらうんどたいおうしてではないようですね	検索してもないのでやはりサラウンド対応してではないようですね
そうなのですね	そうなんですね
ありがとうございます	ありがとうございます
えいがみてみよーとおもってぽわろのはろうぃーんぱーてぃーのやつをみてたのですがおとがどうというよりえいががくらくていまいちでした	映画見てみようと思ってポワロのハロウィーンパーティのやつを見てたんですが音がどうというより映画が暗くていまいちでした
しんさく	新作
まえのふゆのやつです	前の冬のやつです
べねちあ	ベネチア
はいそもそもべねちあぶたいじゃないのでいわかんありただべねちあのえいぞうがよかったです	はいそもそもベネチア舞台じゃないので違和感ありただベネチアの映像が良かったです
これはかんこうえいがか	これは観光映画か
あまぷらでみるのでみないとなとおもってました	アマプラで見れるので見ないとなと思ってました
これちがいがわかりやすい	これ違いが分かりやすい
まさにこんなかんじ	まさにこんな感じ
なにでこちらからおとがきこえるのだろー	なんでこっちから音が聞こえるんだろう
てなります	てなります
べねちあおすすめするほどではないですがべねちあかんこうにぜひ	ベネチアおすすめするほどではないですがベネチア観光にぜひ
いちおうふぁんなのでみときます	いちおうファンなので見ときます
さかもとさんのなまえがかんじになっている	坂本さんの名前が漢字になっている
まちがえてるけれどね	間違えてるけどね
ゆう	ゆう
かってにかんじへんかんですかね	勝手に漢字変換ですかね
すまほはわいゆーけーあいだけですね	スマホはYukiだけですね
じょしぽい	女子ぽい
はいねらってますわらい	はいねらってます笑
もどりました	もどりました
こちらでかってにほんやくしてたのかも	こっちで勝手に翻訳してたのかも
ぱそこんならあまぷらとかがりったいおんきょうになるってかいてある	パソコンならアマプラとかが立体音響になるって書いてある
はちでぃーとかかれていないおんげんでもおでこのちかくでみぎへひだりへといううごきがわかるかんじです	８Dと書かれていない音源でもおでこの近くで右へ左へという動きが分かる感じです
このきょくたいとるげすいどうっていわれてるのですがせかいいちかっこうよいげすいどうともいわれてます	この曲タイトル下水道って言われてるんですが世界一カッコイイ下水道とも言われてます
これがみぎへひだりへとおとがうごくたいぷなのですよ	これが右へ左へと音が動くタイプなんですよ
ふつうのいやほんでもそうなるのですか	普通のイヤフォンでもそうなるんですか
すぴーかーですがぴこぴこはいどうしますね	スピーカーですがぴこぴこは移動しますね
ろまさがやったことないですがおんがくかっこうよいですね	ロマサガやったことないですが音楽かっこいいですね
ぴこぴこがおでこのあたりできこえるかんじですか	ぴこぴこがおでこのあたりで聞こえる感じですか
はちでぃーといわれるおんげんをきくとおでこじゃなくてめのまえできこえるかんじです	８Dと言われる音源を聞くとおでこじゃなくて目の前で聞こえる感じです
ろまさがのよさがわかりますか	ロマサガの良さがわかりますか
はい	はい
でもどれもぷれっしゃーかかるかんじです	でもどれもプレッシャーかかる感じです
はいだからたいおんあがってあせをかいてえこです	はいだから体温あがって汗をかいてエコです
ろまさがのおかげでしゅくだいがすすみます	ロマサガのおかげで宿題が進みます
いまろまさがふうあれんじきょくにはまってます	今ロマサガ風アレンジ曲にはまってます
これこうしきちゃんねるですか	これ公式チャンネルですか
じーじぇーですね	GJですね
たぶんこうしきです	たぶん公式です
じーじぇー	GJ
きんようろーどしょーあれんじさいこうです	金曜ロードショーアレンジ最高です
えいぞうもわらう	映像も笑える
このおばちゃんこわい	このおばちゃんこわい
はい	はい
いきたい	いきたい
こんさーと	コンサート
はい	はい
おーけすとら	オーケストラ
ちゅうせんみたいですね	抽選みたいですね
へえ	へー
ろまさがいちしかやってなくてにさんのきょくとかきーてもおもいいれがないぶんあがらない	ロマサガ1しかやってなくて２３の曲とか聞いても思い入れがない分上がらない
さんれいねんまえってぷれすていちとか	３０年前ってプレステ1とか
すーふぁみですね	スーファミですね
ぷれすてってきゅうよんねんらしい	プレステって94年らしい
ぜんぜんなかった	ぜんぜんなかった
ぜんぜんってことないか	ぜんぜんってことないか
あにがたまにきまぐれにげーむきとげーむをかしてくれてやらされてたのですよ	兄がたまに気まぐれにゲーム機とゲームを貸してくれてやらされてたんですよ
なつやすみとかいちしゅうかんかしてやるみたいなかんじでそれまでくりあするのたいへんでした	夏休みとか1週間貸してやるみたいなかんじでそれまでクリアするの大変でした
すーぱーふぁみこんとぷれすてのあいだになんかあったようなきがする	スーパーファミコンとプレステの間になんかあったような気がする
しょうがっこうのときなかやまみほのげーむかったなといまおもいだしたのですが	小学校のとき中山美穂のゲーム買ったなぁと今思い出したんですが
おんがくはえふえふのうえまつしだしきゃくほんはさがのひとだった	音楽はFFの植松氏だし脚本はサガの人だった
でぃすくしすてむってげーむきがありました	ディスクシステムってゲーム機がありました
げーむきたくさんありますね	ゲーム機たくさんありますね
あにですか	兄ですか
あにです	兄です
なかやまみほをこうりゃくするげーむをやってました	中山美穂を攻略するゲームをやってました
わたしがかったゆいいつのげーむかと	わたしが買った唯一のゲームかと
さいきんはよくかいますけれど	最近はよく買いますけど
どんなげーむですか	どんなゲームですか
あいどるのなかやまみほとたいあっぷしたさくひんでものがたりはぶたいとなるがっこうにてんにゅうしたしゅじんこうがなかやまとであいこいをみのらせていくというもの	アイドルの中山美穂とタイアップした作品で物語は舞台となる学校に転入した主人公が中山と出会い恋を実らせていくというもの
とうじすでににんきだったなかやまとげーむでぎじれんあいができるということでわだいとなった	当時すでに人気だった中山とゲームで疑似恋愛ができるということで話題となった
やがてしゅじんこうはそのおんなのこがほんもののなかやまみほだとしる	やがて主人公はその女の子が本物の中山美穂だと知る
よしださんがかうのですか	吉田さんが買うんですか
はいくりすますぷれぜんとにしてもらったようなきおくも	はいクリスマスプレゼントにしてもらったような記憶も
こうりゃくできました	攻略できました
はい	はい
でんわでなかやまみほとはなしをするしすてむでおもしろかったです	電話で中山美穂と話をするシステムでおもしろかったです
こえをきくだけですけれど	声を聞くだけですけど
げーむもしんかしていたじだいですね	ゲームも進化していた時代ですね
らいねんはしょうわいちぜろぜろねんらしい	来年は昭和100年らしい
たしかに	たしかに
しすてむしょうがいがおきるかもって	システム障害が起きるかもって
とうれも	東レも
さあ	さあ
とうれはいちきゅうにろくらしい	東レは1926らしい
ああとうれのいちぜろぜろしゅうねんね	ああ東レの100周年ね
しすてむしょうがいをおきるとおもえませんけれどね	システム障害を起きると思えませんけどね
しょうわにけたでとしをあらわしているしすてむがあるとか	昭和2桁で年を表しているシステムがあるとか
みれにあむのときにかいけつしてるはずですけれど	ミレニアムの時に解決してるはずですけど
どこのしすてむのことでしょーか	どこのシステムのことでしょうか
ふつうのきぎょうはせいれきにしてるしにけたもんだいもかいけつしてるはずではないのでしょーか	普通の企業は西暦にしてるし2桁問題も解決してるはずではないんでしょうか
さいはつぼうしといういみで	再発防止という意味で
かのうせいのはなしですかね	可能性の話ですかね
しょうわにけたしすてむはじっさいにあったのでしょーけれど	昭和2桁システムは実際にあったんでしょうけど
にぜろぜろぜろねんのときににぜろにごねんにはつかってないやろてきな	2000年の時に2025年には使ってないやろ的な
にぜろさんはちねんもんだいはしんこく	2038年問題は深刻
とうぜんそうていされるりすくですがしょうわにがんこにこだわっているようなそしきでしすてむこうしんもりすくまねーじめんともできないようなかいしゃありますかね	当然想定されるリスクですが昭和に頑固にこだわっているような組織でシステム更新もリスクマネジメントもできないような会社ありますかね
れがしーしすてむたいさくってよくききましたけれどえんじにあふそくと	レガシーシステム対策ってよく聞きましたけどエンジニア不足と
もうだれもそんなふるいしすてむわからんとおもいます	もう誰もそんな古いシステムわからんと思います
さんはちねんもんだいはかいていることがよくわからないです	38年問題は書いていることがよくわからないです
すべてがえふになるですよ	全てがFになるですよ
あーというほどりかいはできていません	あーと言えるほど理解はできていません
ただすでにそうていしているりすくならばあといちぜろねんあればもんだいないでしょ	ただすでに想定しているリスクならばあと10年あれば問題ないでしょ
たいおうできないそしきはつぶれるだけですよ	対応できない組織は潰れるだけですよ
きょうはでぱちかかいだしでーです	今日はデパ地下買い出しデーです
ですよね	ですよね
かずのこですか	数の子ですか
ははのしじですか	母の指示ですか
はい	はい
じきれい	字きれい
ぎゅうにくといわれてもぶいやあつさなどよくまちがうからこんかいはえをえがいてくれました	牛肉といわれても部位や厚さなどよく間違うから今回は絵を描いてくれました
でりやきはゆきよさんのじ	てりやきは幸代さんの字
そうでしたか	そうでしたか
かずのこのこすうもかいてもらおー	数の子の個数も書いてもらおう
ほっとくっくたんとうなのでろーすとびーふぶたのかくにをつくりました	ホットクック担当なんでローストビーフ豚の角煮を作りました
あとはえびをむすいでゆでます	あとはエビを無水でゆでます
ええごうか	えぇ豪華
だいすきなゆろぽんがいちにがつからねっくらいんふきんでていたいしててだいぼうらくをきたいしてねつしせんちゅうです	大好きなユロポンが12月からネックライン付近で停滞してて大暴落を期待して熱視線中です
ちなみにしゅうあしぶんせきです	ちなみに週足分析です
ゆろぽん	ユロポン
いーゆーあーるおーとぴーおーえぬでぃー	EUROとpond
なかまないでちゅうもくしてるひといないですけれど	仲間内で注目してる人いないですけど
うっとこーかな	売っとこうかな
すわっぷちいさいからちょうきでもっててもりすくちいさい	スワップ小さいから長期で持っててもリスク小さい
えーあいもちゅうだんちゅう	AIも中断中
まあすすめませんけれどね	まあ進めませんけどね
えびむすいゆでっておいしいのですか	エビ無水ゆでって美味しいんですか
ふかすってことですか	蒸すってことですか
さあ	さあ
ほっとくっくめにゅーにかいてあった	ホットクックメニューに書いてあった
さけいれるのでさかむしみたいなものか	酒入れるので酒蒸し見たいなものか
あとからかわむいてたべるやつですね	あとから皮むいて食べるやつですね
はい	はい
むいといてよとかいつもおもいます	剥いといてよ〜とかいつも思います
わかりますけれど	わかりますけど
おしょうがつりょうりなので	お正月料理なんで
すごいですね	すごいですね
めちゃやくにたってますね	めちゃ役に立ってますね
いまかららんちです	今からランチです
よいですねすし	いいですね寿司
たべおさめます	食べ納めます
すしごぜんのまつよんにぜろぜろえん	寿司御膳の松4200円
よそうよりたかい	予想より高い
あじもふつうしゃしんとちがう	味も普通写真と違う
あれまー	あれま
かずのこのおーきさが	数の子の大きさが
にんむかんりょうしていえにかえったら	任務完了して家に帰ったら
ひとりでおかいものできたの	一人でお買い物できたの
よいこよいこといわれました	いい子いい子と言われました
かいものしただけでほめられるわたくしとほっとくっくをまかされるさかもとさん	買い物しただけで褒められる私とホットクックを任される坂本さん
れべるはあまりかわらないきがしますが	レベルはあんまり変わらない気がしますが
てぃーぶいいーあーるでじっかくかんやっているのでみはじめてしまいました	tverで十角舘やっているんで見始めてしまいました
はんにんしっているときずいちゃうひといるのじゃない	犯人知っていると気づいちゃう人いるんじゃない
とぎゃくにどきどきします	と逆にドキドキします
やかたしりーずだいにだんやるらしいです	館シリーズ第2段やるらしいです
あやつじゆきとほんとうにやるの	綾辻行人ほんとうにやるの
っていうこうこくがおもしろいです	っていう広告が面白いです
ほんとうにそうおもってるはずです	本当にそう思ってるはずです
あああれそういうせんでんだったのか	あああれそういう宣伝だったのか
ながしみしてた	流し見してた
じっかくかんをわたくしもみはじめたのですがいちぜろかいいじょうみましたがしまださんがたばこすぱすぱすうのがいちばんいや	十角館を私も見始めたんですが10回以上みましたが島田さんが煙草スパスパ吸うのが一番いや
いちにちいちほんときめてくびからいちほんだけさげているというのがとれーどまーくなのに	1日1本ときめて首から1本だけ下げているというのがトレードマークなのに
ぽわろしりーずでぽわろがちょうねくたいじゃないのとおなじかんじのいわかん	ポアロシリーズでポアロが蝶ネクタイじゃないのと同じ感じの違和感
じっかくかんいちがついちにちしんやかられんぞくほうそうですって	十角館1月1日深夜から連続放送ですって
とうきょうではすでにほうそうされていてそのぶんのみのがしはいしんみたいですね	東京ではすでに放送されていてその分の見逃し配信みたいですね
よくみてなかったですが	よく見てなかったですが
ですね	ですね
としこしそばをゆでるたいやくをこなしことしもおわりです	年越し蕎麦を茹でる大役をこなし今年も終わりです
さいごまでかつやくですね	最後まで活躍ですね
いつもおせわになっております	いつもお世話になっております
ことしもよろしくです	今年もよろしくです
きょねんというくくりにいわかんがあっていつもにしたらびじねすふう	去年というくくりに違和感があっていつもにしたらビジネス風
あけおめです	あけおめです
こちらこそよろしくおねがいします	こちらこそよろしくお願いします
きょうはかにです	今日はカニです
やきですかなべですか	焼きですか鍋ですか
なべですなんねんかぶりにかぞくそろってなべたべます	鍋です何年かぶりに家族揃って鍋食べます
それはなにより	それはなにより
かになべあるあるむごん	カニ鍋あるある無言
そのにりゅうけつ	その２流血
ほごぐ	保護具
ぜったいいる	絶対いる
ごきゅうれいえんなのに	５９０円なのに
ぷろしようですね	プロ仕様ですね
にとりるでよいかと	ニトリルでよいかと
いちおうかがくけいのはしくれですがそのそざいはんていのいみがわからないです	一応化学系の端くれですがその素材判定の意味がわからないです
まずそうってぜったいいわれるけれど	まずそうって絶対言われるけど
まずそうです	まずそうです
においそう	においそう
ほーむせんたーでうってるの	ホームセンターで売ってるの
ちなみにぷろもにとりるですよ	ちなみにプロもニトリルですよ
いちれいれいれいれいまんもかわないおしょうがつくらいしかたべない	１００００万も買わないお正月くらいしか食べない
さんにんでにれいれいれいえんにならない	三人で２０００円にならない
ごねんかかる	５年かかる
いちれいれいれいれいえんかいちれいおくかわんて	１００００円か１０億かわんて
いちおくだった	１億だった
けたちがい	桁違い
かぞくででかけていてあのくるまちいさいしよいのちゃう	家族で出かけていてあの車小さいしいいんちゃう
というのですずきのすうぃふとをかうことになりそうです	というのでスズキのスイフトを買うことになりそうです
あれはめいしゃです	あれは名車です
おおそうなのですか	おおそうなんですか
そういえばいぜんのってませんでした	そういえば以前のってませんでした
はせがわさんがきいろのすうぃふとのってました	長谷川さんが黄色のスウィフト乗ってました
だれかきいろいすうぃふとだったなとおもってたのですよ	だれか黄色いスイフトだったなーと思ってたんですよ
でもかんちがいかも	でも勘違いかも
くるまのまどのあまよけっているとおもいます	車の窓の雨除けっていると思います
もうかいそうないきおいですね	もう買いそうな勢いですね
あめのひにまどあけたいひとようですがたばこすうひとようかとおもってます	雨の日に窓あけたい人ようですがタバコ吸う人用かと思ってます
わたくしもたばこようだからいらんというのですがかっこうわるいとおもうのですよね	私もタバコ用だからいらんと言うんですがカッコ悪いと思うんですよね
そうです	そうです
つけないのはかっこうわるいから	つけないのはカッコ悪いから
かいものはなやみたくないのでしょうどうかいはなのでまえはいそげでみつもりなげました	買い物は悩みたくないので衝動買い派なんで前は急げで見積もり投げました
かいものはなやんているじかんがたのしいといーますが	買い物は悩んでいる時間が楽しいといいますが
えー	えー
ひつようならかう	必要なら買う
どれにするかなやんてもこうかいするのに	どれにするか悩んでも後悔するのに
でこれで	じゃあこれで
といちごふんくらいのかいものでした	と１５分くらいの買い物でした
こんかいもちちがこれでよいのちゃうといったからもうそれでよいです	今回も父がこれでイイんちゃうと行ったからもうそれでいいです
ただあまよけはかっこうわるい	ただ雨除けはカッコ悪い
すうぃふとはかーおぶざいやにごなのですね	スイフトはカーオブザイヤ２５なんですね
あれにいみがあるのかわかりませんが	あれに意味があるのかわかりませんが
そうなのですよ	そうなんですよ
いろいろあってきじゅんがねんぴ	いろいろあって基準が燃費
しょうひしゃにはかんけいないかと	消費者には関係ないかと
あーるじぇーしーかーおぶざいやーらしい	RJCカーオブザイヤーらしい
にっぽんかーおぶざいやーにはでざいんとかもありましたね	日本カーオブザイヤーにはデザインとかもありましたね
あーるじぇーしーにっぽんじどうしゃけんきゅうしゃじゃーなりすとかいぎ	RJC日本自動車研究者ジャーナリスト会議
なのですかぷよぷよ	なんですかぷよぷよ
すいかげーむですによんぜろえんです	スイカゲームです240円です
むだづかいです	無駄遣いです
にじかんくらいやってました	２時間くらいやってました
まごたちをたたかってきょうはじめたばかりだけれどたぶんわたくしがいちばんてんすうがたかかったかと	孫たちを戦って今日始めたばっかりだけどたぶん私が一番点数が高かったかと
きのうはねつがでてねこんでました	昨日は熱が出て寝込んでました
ははがねんまつかぜひーていちにちおくれでうつりました	母が年末風邪ひいて1日遅れでうつりました
こうねつではないのでえんざんのきんさんをいっきみしました	高熱ではないので遠山の金さんを一気見しました
すぎりょうたろう	杉良太郎
きんさんはあんなにきやすくいれずみをみせびらかしてどうやってぶぎょうであることをかくしとーしているのかそのひみつをしりたい	金さんはあんなに気安く刺青を見せびらかしてどうやって奉行であることを隠し通しているのかその秘密を知りたい
もししじつどーりだとしてもひんどはすくなかったはずですよ	もし史実どおりだとしても頻度はすくなかったはずですよ
さんぜろねんかんみためはこどものこなんくんなかみはちゅうねんなのでもうあれはやめてほしい	30年間見た目は子供のコナン君中身は中年なんでもうあれれは辞めてほしい
まいしゅうみせてたじゃないですか	毎週見せてたじゃないですか
ひんどもんだいをぎろんしたらあーかのです	頻度問題を議論したらあかんのです
いちかいきりだとおもってみてください	一回きりだと思ってみてください
すぎりょうたろうだけあってよくできているというかちゃんとつくられているのがみごたえあります	杉良太郎だけあってよくできているというかちゃんと作られているのが見応えあります
へえ	へー
ひがしやまがやくしゃいんたいしたのでひっさつしごとにんもなくなったのがざんねんです	東山が役者引退したので必殺仕事人も無くなったのが残念です
そういえばじだいげきはだんそんじょひでみていられないのでみないのですがこどものころひっさつしごとにんはすきでした	そういえば時代劇は男尊女卑で見て居られないのでみないのですが子供のころ必殺仕事人は好きでした
ざんねんですね	残念ですね
でもじだいげきっていまのじだいにあっているのかびみょうですよね	でも時代劇って今の時代に合っているのか微妙ですよね
たいちょうはもどったのですか	体調はもどったのですか
ぎりぎりまでじっかですか	ギリギリまで実家ですか
そうですねってきがついたらもうどにちしかのこってない	そうですねって気がついたらもう土日しか残ってない
ふつうのしゅうまつですね	普通の週末ですね
いきてました	生きてました
ちかてつでみるかっぷるはきょうはぺあでした	地下鉄で見るカップルは今日はペアでした
おとこはうすいうーるのせーたーをうでまくりできたいをうらぎらなかったです	男は薄いウールのセーターを腕まくりで期待を裏切らなかったです
まわりのにっぽんにんはだうんこーとをきっちりきこんているのに	周りの日本人はダウンコートをきっちり着込んでいるのに
なにと	なんと
だいにしょうはじまりですね	第二章始まりですね
ふんいきがかなだにんぽいです	雰囲気がカナダ人ぽいです
このばいくどこのかわかりますか	このバイクどこのか分かりますか
そこまでくわしくないのでわからないです	そこまで詳しくないのでわからないです
このかくどでみるとおれんじのいすはかばーですね	この角度でみるとオレンジの椅子はカバーですね
くろとおれんじでかわいい	黒とオレンジでかわいい
せろーだとおもうのですがけっていてきなしゃしんがない	セローだと思うんですが決定的な写真がない
おれんじのつつのところがせろーぽいですね	オレンジの筒のところがセローっぽいですね
ではそれでは	ではそれでは
なにかちがう	なんか違う
いちきゅうはちぜろねんだいもでる	1980年代モデル
さいきんのえっくすてぃーにごぜろせろーぽい	最近のXT250セローぽい
となるのです	となるんです
きょうははのしゅじゅつのじぜんせつめいについていったのですがとうじつのつきそいはむすめですとははがいったらむすめさんおひとりですか	今日母の手術の事前説明について行ったんですが当日の付き添いは娘ですと母が言ったら娘さんおひとりですか
ときかれたのですよ	と聞かれたんですよ
わたくしちちもくるのか	私父も来るのか
といういみのといかとおもっていたらははははいどくしんですってこたえるのですよ	という意味の問いかと思っていたら母ははい独身ですって答えるんですよ
そうしたらどちらでもなくむすめのにんずうをきかれたのですよ	そしたらどっちでもなく娘の人数を聞かれたんですよ
かぞくこうせいのかくにんだったみたい	家族構成の確認だったみたい
まあどくしんはつげんでわらいがおきたてただわらいものにされただけでした	まあ独身発言で笑いが起きたてただ笑いものにされただけでした
ははのしたまではそうぞうできました	母の下までは想像できました
きょうせいそんぎりをまぬがれました	強制損切を免れました
ここれは	ここれは
ひつようですか	必要ですか
るすちゅうにへんなものすいこんてたちおうじょうしなくてすみます	留守中に変なもの吸い込んで立ち往生しなくて済みます
るんばがつかうおへやがほしい	ルンバが使えるお部屋が欲しい
あかちゃんいぬがいたりるんばがあるとゆかにものをおかなくなってよいしつけになるとおもってましたがろぼっとがひとをあまやかすのをよくおもえないとしごろなのかも	赤ちゃん犬がいたりルンバがあると床にものを置かなくなっていい躾になると思ってましたがロボットが人を甘やかすのをよく思えない年頃なのかも
わたくしもそれしかしりません	私もそれしか知りません
きほんてきにかしがあたまにはいってこないのでかようきょくはきかないのですがすたーだすとれびゅーのきょくはすきでした	基本的に歌詞が頭に入って来ないので歌謡曲は聞かないのですがスターダストレビューの曲はすきでした
こえががっきてきですよね	声が楽器的ですよね
かしもあたまにはいっている	歌詞も頭に入っている
はいってくる	入ってくる
すたーだすとれびゅーというのはみたこともきーたこともないきがします	スターダストレビューというのは見たことも聞いたこともない気がします
まじですか	まじですか
しーえむできーていたりします	CMで聞いていたりします
ぎゃくにしーえむでしかきーていないようなきもします	逆にCMでしか聞いていないような気もします
しらないです	知らないです
しってこ	知ってこ
よんぜろねんまえのだからいまさらですね	40年前のだから今更ですね
えぬきょうをきーてきました	N響を聴いてきました
とうきょうまでいったのですか	東京までいったんですか
おおつまできてくれたのです	大津まできてくれたんです
それならちかいですねらいぶがすきなのですね	それなら近いですねライブが好きなんですね
きゃりぶれーしょんです	キャリブレーションです
みみの	耳の
ははがいきたいというのもあり	母が行きたいというのもあり
よいおやこうこうですね	よい親孝行ですね
そうです	そうです
いっしょになにかするってむずかしい	一緒に何かするって難しい
はい	はい
まだかぜのしょうじょうがすこしのこるからせきどめのくすりのんたのです	まだ風邪の症状が少し残るから咳止めの薬飲んだんです
そうしたらきぶんがわるくなってきてあっこれまえにおなじけいけんあるわとおもいだしました	そしたら気分が悪くなってきてあこれ前に同じ経験あるわと思い出しました
なかなかだいじなときにおもいだしません	なかなか大事な時に思い出しません
あらせきのこるとしんどいですねくすりはなにをのんたのですかかぜぐすりはいろいろなしょうじょうのくすりがはいってるからふくさようみたいになるらしいですね	あら咳残るとしんどいですね薬は何を飲んだんですか風邪薬は色々な症状の薬が入ってるから副作用みたいになるらしいですね
ぷれこーる	プレコール
せきはとまるがふくさようがおおきい	咳は止まるが副作用が大きい
ぷれこーるのんたことないですがばふぁりんとかわたくしもきぶんわるくなりますせきにはせきのがよいですよ	プレコール飲んだことないですがバファリンとか私も気分悪くなります咳には咳のがいいですよ
あれおかえくみこ	あれ岡江久美子
ゆうしょくどき	夕食どき
ははがおゆをたいりょうにつかっていたらちちがおゆがもったいないとかいったかなんかでりょうしんがけんかしてそのせいでわたくしのゆうしょくがなかったです	母がお湯を大量に使っていたら父がお湯がもったいないとか言ったかなんかで両親が喧嘩してそのせいで私の夕食がなかったです
かえるまえになにかかってかえったほうがよい	帰る前に何か買って帰った方がいい
とえるあいえぬいーでかくにんしたときなにもいらないとへんじがあったのですがかってこいといってほしかったです	とLINEで確認したとき何もいらないと返事があったのですが買ってこいと言ってほしかったです
わたくしのごきげんがわるかったらだいらんとうになるところですよ	私のご機嫌が悪かったら大乱闘になるところですよ
おやおや	おやおや
だいたいりょうりをしないくせにおとこはよけいなこといーます	だいたい料理をしないくせに男は余計なこといいます
えー	えー
そういうじれいではなかったですか	そういう事例ではなかったですか
まあははからはそうみえる	まあ母からはそう見える
むしすればよいのにきにやんておちこむのですよ	無視すれば良いのに気に病んで落ち込むんですよ
わたくしならいちまんえんつきつけておゆつかいます	私なら一万円突きつけてお湯使います
でもこうねんきしょうがいのわたくしもたいみんぐによってはあれくるったかもしてませんね	でも更年期障害の私もタイミングによっては荒れ狂ったかもしてませんね
こわい	こわい
でもこれはおかねでかいけつできるもんだいです	でもこれはお金で解決できる問題です
ほんまに	ほんまに
ちちはけちでこまかいわけじゃなくてきゅうとうきのおゆをつかいきらないげーむをしてるだけなのです	父はケチで細かいわけじゃなくて給湯器のお湯を使い切らないゲームをしてるだけなんです
それでもつかいたいならげーむにまけるいしゃりょうをはらってだまらせるのがよいです	それでも使いたいならゲームに負ける慰謝料をはらって黙らせるのが良いです
めちゃめちゃよけいなひとことですやんー	めちゃめちゃ余計な一言ですやん
いやじじつです	いや事実です
そんなことですねんなよとわたくしはちちはでしたね	そんなことですねんなよと私は父派でしたね
おお	おお
まあふかいにおもったならあてつけのようにつかいきってもよいのです	まあ不快におもったなら当てつけのように使い切っても良いのです
ごはんがなかったのはわたくしだけなのですよ	ご飯がなかったのは私だけなんですよ
とばっちりです	とばっちりです
それがいみふめい	それが意味不明
ちちこのみのにこみはすでにじゅんびがおわっていてわたくしのぶんはべつにつくろーとしていたのにやるきがなくなったらしくれとるとになりました	父好みの煮込みはすでに準備が終わっていて私の分は別に作ろうとしていたのにやる気がなくなったらしくレトルトになりました
あらまー	あらま
はははことばのうらをかってにかいしゃくしてすねるたいぷなのですよ	母は言葉の裏を勝手に解釈してすねるタイプなんですよ
だからちょっとめんどうくさいのです	だからちょっとめんどくさいんです
ちちはおゆのつかいかたほうほうをしてきしたとおもうのですがはははおゆじゃなくてみずをつかえといわれたようなきになってそんなにいうならおふろにはいらない	父はお湯の使い方方法を指摘したと思うんですが母はお湯じゃなくて水を使えと言われたような気になってそんなに言うならお風呂に入らない
とかいーだすのです	とか言い出すんです
きゅうとうきのおゆはたっぷりあるのですけれどね	給湯器のお湯はたっぷりあるんですけどね
きょねんあまりにおゆのざんりょうをきにするははのためにいちまわりおおきいきゅうとうきにかいかえたのですよ	去年あまりにお湯の残量を気にする母のために一回り大きい給湯器に買い替えたんですよ
せっかくかいかえたのにな	せっかく買い換えたのになー
そうちょうからちちとおてつだいしてははのごきげんをとってきました	早朝から父とお手伝いして母のご機嫌をとってきました
ふうきょうはゆうしょくにありつけそうです	ふぅ〜今日は夕食にありつけそうです
ちょっとよくわからないのですがきゅうとうきにおゆはたまっているのにそれをつかわないというはなしですか	ちょっとよくわからないのですが給湯器にお湯は溜まっているのにそれを使わないという話ですか
まさにそこがいみのわからないてんです	まさにそこが意味の分からない点です
ちちはしんやでんりょくでわかしたおゆをむだなくこうりつよくおゆをつかってつかいきりたい	父は深夜電力で沸かしたお湯を無駄なく効率よくお湯を使って使い切りたい
わたくしもこちらはははじゃばじゃばなにもかんがえずにつかいたい	私もこっち母はじゃばじゃば何も考えずに使いたい
