input	gold
わらってよいとも	笑っていいとも
をかんしたとくばんではあるがつうじょうのなまほうそうがおこなわれていたすたじおあるたではなくみなとくだいばふじてれびほんしゃびるのぶいよんすたじおからなまほうそうされていた	を冠した特番ではあるが通常の生放送が行われていたスタジオアルタではなく港区台場フジテレビ本社ビルのV4スタジオから生放送されていた
すたじおせっとについてばんぐみしょきはすたじおあるたからとうじのよいとも	スタジオセットについて番組初期はスタジオアルタから当時のいいとも
のつうじょうほうそうのせっとをまるごともってきてくみたてていた	の通常放送のセットをまるごと持ってきて組み立てていた
にぜろぜろごねんからしゅうりょうまではこのばんぐみようのどくじのすたじおせっとでほうそうされていた	2005年から終了まではこの番組用の独自のスタジオセットで放送されていた
とうばんぐみしゅうりょうごもまいとしなつになまほうそうされていたえふえぬえすにななじかんてれびないのわらってよいとも	当番組終了後も毎年夏に生放送されていたFNS27時間テレビ内の笑っていいとも
ぞうかんごうせいすぺしゃるのせっととしてにぜろいちいちねんまでしようされた	増刊号生スペシャルのセットとして2011年まで使用された
とうばんぐみのてーまきょくはねんまつとくばんのわらってよいとも	当番組のテーマ曲は年末特番の笑っていいとも
ただしえんでぃんぐおよびていきょうすぽんさーひょうじではとくだいごうとおなじばーじょんがながれていた	ただしエンディングおよび提供スポンサー表示では特大号と同じバージョンが流れていた
にぜろぜろきゅうねんあきのかいをもってほうそうしゅうりょう	2009年秋の回を以って放送終了
なるほど	なるほど
ざしゅんじゅうのさいてんすぺしゃるからかぞえにろくねんはんのえふえぬえすしゅんあきのさいてんすぺしゃるしりーずのれきしにいったんぴりおどをうった	ザ春秋の祭典スペシャルから数え26年半のFNS春秋の祭典スペシャルシリーズの歴史に一旦ピリオドを打った
よくにぜろいちぜろねんはるあきはばんぐみたいこうせんをはいししたうえでとーくをちゅうしんにすえたよるのわらってよいとも	翌2010年春秋は番組対抗戦を廃止した上でトークを中心に据えた夜の笑っていいとも
はるあきのどらまとくだいごうをほうそう	春秋のドラマ特大号を放送
いこうにぜろいちいちねんはるのすぺしゃるでばんぐみたいこうせんがいちじふっかつしたもののこのかいをもってよいとも	以降2011年春のスペシャルで番組対抗戦が一時復活したもののこの回をもっていいとも
すぺしゃるはほうそうをしゅうりょうした	スペシャルは放送を終了した
そのごやくにねんちゅうだんしたあとにぜろににねんはるよりほんばんぐみのそうごうしかいをたんとうしていたなかいまさひろのしかいによるはるのばんぐみたいこうたいむりみっとばとるぼかーん	その後約2年中断した後2022年春より本番組の総合司会を担当していた中居正広の司会による春の番組対抗タイムリミットバトルボカーン
がしんどらまたいこうとくばんとしてほうそうされていた	が新ドラマ対抗特番として放送されていた
にぜろにさんねんいこうはふじてれびのしんどらまたいこうのくいずげーむろせんはそれいぜんからねんいちにかいていどのとくばんでほうそうされていたくいずどれみふぁどん	2023年以降はフジテレビの新ドラマ対抗のクイズゲーム路線はそれ以前から年12回程度の特番で放送されていたクイズドレミファドン
にとうごうされることになった	に統合されることになった
しゅつえんしゃ	出演者
そうごうしかい	総合司会
かこのそうごうしかい	過去の総合司会
やまだはなこにぜろぜろいちねんはる	山田花子2001年春
ひさもとまさみにぜろぜろいちねんあき	久本雅美2001年秋
しんこう	進行
いかはだんせいじょせいふじてれびあなうんさー	以下は男性女性フジテレビアナウンサー
そのとしによりあなうんさーがへんこうする	その年によりアナウンサーが変更する
あしすたんと	アシスタント
ほうそうかいじてんにおけるよいともせいねんたい	放送回時点におけるいいとも青年隊
れきだいゆうしょうちーむいちらんひょう	歴代優勝チーム一覧表
れきだいゆうしょうちーむ	歴代優勝チーム
にぜろぜろいちねんはるはゆうしょうちーむをきめずこーなーちゃんぴおんちーむにしょうきんごぜろまんえんをかけたぼーなすげーむをおこなった	2001年春は優勝チームを決めずコーナーチャンピオンチームに賞金50万円を賭けたボーナスゲームを行った
にぜろぜろいちねんあきいこうからゆうしょうちーむににぜろぜろまんえんにぜろぜろいちねんあきのみいちぜろぜろまんえんかくとくするうえだいひょうしゃにぼーなすげーむてーぶるくろすひきにちょうせん	2001年秋以降から優勝チームに200万円2001年秋のみ100万円獲得する上代表者にボーナスゲームテーブルクロス引きに挑戦
せいこうすればゆうしょうちーむにさらにいちぜろぜろまんえんかさんさいだいさんぜろぜろまんえんのちゃんす	成功すれば優勝チームにさらに100万円加算最大300万円のチャンス
しかししっぱいすればまけちーむにいちぜろぜろまんえんやまわけいちちーむにごまんえんにぜろまんえんのかいもあった	しかし失敗すれば負けチームに100万円山分け1チーム25万円20万円の回もあった
ただしにぜろぜろきゅうねんはるのかいはてーぶるくろすひきからあーちぇりーにかえたがせいこうしっぱいのときはひきつずきにぜろぜろいちねんあきのいごのるーるとなっている	ただし2009年春の回はテーブルクロス引きからアーチェリーに変えたが成功失敗のときは引き続き2001年秋の以後のルールとなっている
にぜろぜろいちねんはるあきはやまだはなこにぜろぜろいちねんはるとひさもとまさみにぜろぜろいちねんあきもしかいしゃとしてしゅつえんしていた	2001年春秋は山田花子2001年春と久本雅美2001年秋も司会者として出演していた
にぜろぜろにねんはるいこうはもりたなかいのににんだけでしかいをたんとうしている	2002年春以降は森田中居の2人だけで司会を担当している
にぜろぜろにねんはるからはばくしょうもんだいがわらってよいとも	2002年春からは爆笑問題が笑っていいとも
ちーむのれぎゅらーとしてたすうしゅつえんしているただしにぜろぜろよんねんあきにぜろぜろはちねんあきはしゅつえんしなかった	チームのレギュラーとして多数出演しているただし2004年秋2008年秋は出演しなかった
ほうそうじかんのへんせん	放送時間の変遷
ほうそうじかんはすべてじぇーえすてぃー	放送時間はすべてJST
ばんぐみたいとるのへんせん	番組タイトルの変遷
にぜろぜろえっくすのえっくすにはほうそうねんのしたいちけたがはいる	200XのXには放送年の下1桁が入る
とっきしゅつじょうしゃ	特記出場者
さいたしゅつじょうしゃ	最多出場者
さいねんちょうしゅつじょうしゃ	最年長出場者
さいねんしょうしゅつじょうしゃ	最年少出場者
しちょうりつ	視聴率
おもなこーなー	主なコーナー
よいともせんしゅけんすぺしゃる	いいとも選手権スペシャル
にぜろぜろいちねんあきにすたーと	2001年秋にスタート
えんでぃんぐぶぶんでそうごうゆうしょうちーむのだいひょうしゃいちめいがわいんぐらすすうこにわいんがはいったてーぶるくろすひきにちょうせんをする	エンディング部分で総合優勝チームの代表者1名がワイングラス数個にワインが入ったテーブルクロス引きに挑戦をする
みごとせいこうするとぼーなすしょうきんいちぜろぜろまんえんをかくとくしっぱいするとにいいかのちーむににごまんえんにぜろまんえんずつやまわけとなる	見事成功するとボーナス賞金100万円を獲得失敗すると2位以下のチームに25万円20万円ずつ山分けとなる
せいこうするためのさんつのぽいんとは	成功するための3つのポイントは
ぬのをぴんとはりしわをなくす	布をピンと張りシワを無くす
ぬのをななめしたにひく	布を斜め下に引く
とにかくすばやくぬのをひく	とにかく素早く布を引く
よいとも	いいとも
あーちぇりー	アーチェリー
ばんぐみちーむだいひょうしゃがちょうせんしなんてんとれるかをきそうものである	番組チーム代表者が挑戦し何点取れるかを競うものである
にぜろぜろろくねんはるからはだんたいせんにかわっている	2006年春からは団体戦に変わっている
ちーむごとにだいひょうしゃさんめいがあーちぇりーでまとをねらってうつ	チームごとに代表者3名がアーチェリーで的を狙って撃つ
まとのえんのいちばんそとがわからちゅうしんにちかづくにつれていちぜろてんさんぜろてんごぜろてんいちぜろぜろてんにぜろぜろてんとてんすうがたかくなる	的の円の一番外側から中心に近づくにつれて10点30点50点100点200点と点数が高くなる
まとのちゅうしんにぜろぜろてんのまとにはこがたのかめらがないぞうされておりこのこがたかめらをうつとべんしょうがあるとたもりはいっていた	的の中心200点の的には小型のカメラが内蔵されておりこの小型カメラを撃つと弁償があるとタモリは言っていた
たもりがまいかいほらかいのせいたいもしゃときおりしゃくはちのばあいもあるをするのがめいぶつとなっている	タモリが毎回ほら貝の声帯模写時折尺八の場合もあるをするのが名物となっている
まとのいちばんそとがわからちゅうしんにちかづくにつれていちぜろてんさんぜろてんごぜろてんいちぜろぜろてんにぜろぜろてんとてんすうがたかくなる	的の一番外側から中心に近づくにつれて10点30点50点100点200点と点数が高くなる
すりっぱたっきゅう	スリッパ卓球
すりっぱでたっきゅうをおこないとーなめんとせんでかくちーむにくみずつたいせんしだぶるすせんでたたかうがだじゅんはかんけいなくどちらがうってもよい	スリッパで卓球を行いトーナメント戦で各チーム2組ずつ対戦しダブルス戦で戦うが打順は関係なくどちらが打っても良い
さーぶけんはこうごでかくしあいのしょうりちーむにとくてんがはいる	サーブ権は交互で各試合の勝利チームに得点が入る
ゆうしょうしたちーむにはいちぜろぜろまんえんがぞうていされる	優勝したチームには100万円が贈呈される
すりっぱたっきゅうのしんぱんはあおきふみぎがたんとう	スリッパ卓球の審判は青木史義が担当
にゃにゃにゃみゅーじっく	ニャニャニャミュージック
ちーむのいちめいがまるだいにたちしゅつだいされたがっきょくをきゅうぜろびょうかんでにゃにゃにゃのりずむでうたいたのめんばーががっきょくのたいとるをあてる	チームの1名が丸台に立ち出題された楽曲を90秒間でニャニャニャのリズムで歌い他のメンバーが楽曲のタイトルを当てる
あてたらほかのめんばーといれかわりぱすうでさいこうきょくすうのいちちーむのみとくてんがはいる	当てたら他のメンバーと入れ替わりパス有で最高曲数の1チームのみ得点が入る
にぜろぜろいちねん	2001年
ふとじでひょうじされているのがゆうしょうちーむ	太字で表示されているのが優勝チーム
はるのたいかい	春の大会
ばんぐみたいとるわらってよいとも	番組タイトル笑っていいとも
はるのさいてんすぺしゃる	春の祭典スペシャル
ほうそうにちにぜろぜろいちねんさんがつにろくにちげつようひ	放送日2001年3月26日月曜日
そうごうしかいもりたかずよしなかいまさひろやまだはなこ	総合司会森田一義中居正広山田花子
しんこうにしやまきくえふじてれびあなうんさー	進行西山喜久恵フジテレビアナウンサー
あしすたんとてぃーさんおまたじゅんいちこませきねさだつよしさだささきやすおやすお	アシスタントT3小俣順一コマ関根禎剛サダ佐々木康雄ヤスオ
るーきー	ルーキー
わらってよいとも	笑っていいとも
にんげんかんさつくいず	人間観察クイズ
ごせんぞさまはすごいひと	ご先祖さまはスゴイ人
いんたーなしょなるえすぴー	インターナショナルSP
ざていばんしょー	ザ定番ショー
ごせんぞさまはえらいひとのごせんぞさまはとーますえじそんのしそん	ご先祖様は偉い人のご先祖様はトーマスエジソンの子孫
ていばんしょーにてどらえもんのどうぐのていばんは	定番ショーにてドラえもんの道具の定番は
というもんだいにたいしくろきひとみがつえとかいとうさらにすまっぷのきょくのていばんは	と言う問題に対し黒木瞳がつえと解答さらにスマップの曲の定番は
にかんしてはだんだはすまんしらんうついはぎぶあっぷとこたえられず	に関しては段田はすまん知らん宇津井はギブアップと答えられず
くろきはうえきとうのおよびでないとかいとうしていた	黒木は植木等のおよびでないと回答していた
しちょうりつはいちきゅうきゅう	視聴率は199
あきのたいかい	秋の大会
ばんぐみたいとるわらってよいとも	番組タイトル笑っていいとも
あきのさいてんすぺしゃる	秋の祭典スペシャル
ほうそうにちにぜろぜろいちねんいちぜろがついちにちげつようひ	放送日2001年10月1日月曜日
そうごうしかいもりたかずよしなかいまさひろひさもとまさみ	総合司会森田一義中居正広久本雅美
あしすたんとてぃーさんおまたじゅんいちこませきねさだつよしさだささきやすおやすお	アシスタントT3小俣順一コマ関根禎剛サダ佐々木康雄ヤスオ
わらってよいとも	笑っていいとも
このばんぐみのまえのななじはちじごよんふんにほうそうしとうしょよていしていたえいちいーわい	この番組の前の7時8時54分に放送し当初予定していたHEY
えいちいーわい	HEY
えいちいーわい	HEY
えなりかずきはとうじいちななさいでろうどうきじゅんほうのかんけいでににじまえにとちゅうたいせき	えなりかずきは当時17歳で労働基準法の関係で22時前に途中退席
はやおしつながりくいず	早押しつながりクイズ
よいともどらまやくめいうらないらんきんぐ	いいともドラマ役名占いランキング
ていばんしょーすぺしゃる	定番ショースペシャル
よいともどらまやくめいうらないらんきんぐにてうんせいさいかいのいしはらよしずみのやくめいさかいけいじをちゃかしけいじとかいめいするよういわれた	いいともドラマ役名占いランキングにて運勢最下位の石原良純の役名坂井圭司を茶菓子けいじと改名するよう言われた
ていばんしょーにてぐっとくるじょせいのしぐさのていばんについてほかのめんばーがかみをかきあげるとかいたのにはらだたいぞうがかみとかいとうこれがみとめられずけっしょうしんしゅつできず	定番ショーにてグッと来る女性のしぐさの定番についてほかのメンバーが髪をかきあげると書いたのに原田泰造がかみと回答これが認められず決勝進出出来ず
たもりのくちぐせのていばんについてははんすういじょうがたもりがいわないよいともだった	タモリの口癖の定番については半数以上がタモリが言わないいいともだった
さようならおづせんせいしゅえんのたむらまさかずとじょえんのゆうすけさんたまりあはばんせんぶいてぃーあーるいがいでのしゅつえんはなかった	さよなら小津先生主演の田村正和と助演のユースケサンタマリアは番宣VTR以外での出演は無かった
なおどらまちーむでしゅえんがけっせきしたのはこんかいのこのどらまがはつ	なおドラマチームで主演が欠席したのは今回のこのドラマが初
すたーのこいちーむがゆうしょうしくさなぎつよしがてーぶるくろすひきにちょうせん	スタアの恋チームが優勝し草彅剛がテーブルクロス引きに挑戦
みごとくりあでぼーなすしょうきんいちぜろぜろまんえんをかくとくした	見事クリアでボーナス賞金100万円を獲得した
しちょうりつはいちろくぜろ	視聴率は160
にぜろぜろにねん	2002年
はるのたいかい	春の大会
ばんぐみたいとるわらってよいとも	番組タイトル笑っていいとも
はるのさいてんだいすぺしゃる	春の祭典大スペシャル
ほうそうにちにぜろぜろにねんよんがつはちにちげつようひ	放送日2002年4月8日月曜日
そうごうしかいもりたかずよしなかいまさひろ	総合司会森田一義中居正広
しんこうおおつぼちなつふじてれびあなうんさーにぜろぜろごねんさんがつにたいしゃ	進行大坪千夏フジテレビアナウンサー2005年3月に退社
あしすたんとてぃーさんおまたじゅんいちこませきねさだつよしさだささきやすおやすお	アシスタントT3小俣順一コマ関根禎剛サダ佐々木康雄ヤスオ
せいけいびじん	整形美人
びっぐまねー	ビッグマネー
わらってよいとも	笑っていいとも
みずいちぜろ	水10
はていばんしょーしゅうりょうごからとちゅうさんか	は定番ショー終了後から途中参加
ていばんしょーえすぴー	定番ショーSP
みうちじまんはやおしくいずこのひとだれのそっくりさん	身内自慢早押しクイズこの人誰のそっくりさん
えんぎりょくにだまされるなききにんげんばんづけすぺしゃる	演技力にだまされるな利き人間番付スペシャル
おーぴーのしょうきんせつめいのときにとうじのあしすたんとよいともせいねんたいだったてぃーさんといっしょにきむらがてぃーよんとしてでていた	OPの賞金説明のときに当時のアシスタントいいとも青年隊だったT3と一緒に木村がT4として出ていた
なかいがきむらのどらまのたいとるをそらからふるほしのとまちがえきむらがなかいにせまるしーんがあったいかわはるかはどらまのせんでんぶちょうににんめいされた	中居が木村のドラマのタイトルを空から降る星のと間違え木村が中居に迫るシーンがあった井川遙はドラマの宣伝部長に任命された
みやさこがきたむらいっきのあだながどみぐらすそーすであるとばくろゆうすけがしゃべろーとしたときにしーえむにはいったてれびあさひとらのもんのあさまでなまどちらのえびすよしかずじょうたいになった	宮迫が北村一輝のあだ名がデミグラスソースであると暴露ユースケが喋ろうとした時にCMに入ったテレビ朝日虎の門の朝まで生どっちの蛭子能収状態になった
みうちじまんはやおしくいずのぶいてぃーあーるにきゃいーんがとうじょうしたあとおおたがおおつぼさんのどうせいあいてとはつげん	身内自慢早押しクイズのVTRにキャイ〜ンが登場した後太田が大坪さんの同棲相手と発言
おおつぼあなはすこしてれていた	大坪アナは少し照れていた
またぶいてぃーあーるににらむようにみていたしばさきこうをえむしーににんがしてきしたところしりょくがわるくこんたくとをしていなかったからだとのべた	またVTRに睨むように見ていた柴咲コウをMC2人が指摘したところ視力が悪くコンタクトをしていなかったからだと述べた
そらからふるいちおくのほしのしゅえんであるあかしやさんまはばんせんぶいてぃーあーるいがいでのしゅつえんはなかった	空から降る一億の星の主演である明石家さんまは番宣VTR以外での出演は無かった
せいけいびじん	整形美人
ちーむがゆうしょうししいなきっぺいがてーぶるくろすにちょうせんしせいこう	チームが優勝し椎名桔平がテーブルクロスに挑戦し成功
しちょうりつはにぜろごはるあきのさいてんでしちょうりつがにぜろをこえたのはえふえぬえすばんぐみたいこう	視聴率は205春秋の祭典で視聴率が20を越えたのはFNS番組対抗
なるほど	なるほど
ざしゅんじゅうのさいてんすぺしゃるじだいのいちきゅうきゅうよんねんあきによんよんいらいじつにななねんはんぶりのかいきょである	ザ春秋の祭典スペシャル時代の1994年秋244以来実に7年半ぶりの快挙である
あきのたいかい	秋の大会
ばんぐみたいとるわらってよいとも	番組タイトル笑っていいとも
あきのさいてんだいすぺしゃる	秋の祭典大スペシャル
ほうそうにちにぜろぜろにねんきゅうがつさんぜろかげつようひ	放送日2002年9月30日月曜日
そうごうしかいもりたかずよしなかいまさひろ	総合司会森田一義中居正広
しんこうふかざわりなふじてれびあなうんさーげんざいはたいしゃ	進行深澤里奈フジテレビアナウンサー現在は退社
あしすたんとてぃーさんおまたじゅんいちこませきねさだつよしさだささきやすおやすお	アシスタントT3小俣順一コマ関根禎剛サダ佐々木康雄ヤスオ
わらってよいとも	笑っていいとも
ていばんしょーえすぴー	定番ショーSP
なにでもらんきんぐ	何でもランキング
いちいをあてていけまーてんえすぴー	1位を当てちゃいけまテンSP
えんぎりょくにだまされるなききにんげんばんづけえすぴー	演技力にダマされるな利き人間番付SP
ほんたいかいのみゆいいつのけいななちーむさんか	本大会のみ唯一の計7チーム参加
てんさいやなぎさわきょうじゅのせいかつのしゅえんであるまつもとこうしろうはばんせんぶいてぃーあーるいがいでのしゅつえんはなかった	天才柳沢教授の生活の主演である松本幸四郎は番宣VTR以外での出演は無かった
てんさいやなぎさわきょうじゅのせいかつちーむのとだけいこはえいちあーるにもしゅつえん	天才柳沢教授の生活チームの戸田恵子はHRにも出演
おおたがぴーこのことをぴいたろうとはつげんしてそれをうけたぴーこはげきどした	太田がピーコのことをピー太郎と発言してそれを受けたピーコは激怒した
いちいをあてていけまーてんえすぴーはかこいちぜろねんのふじてれびのにんきどらましゅんかんさいこうしちょうりつらんきんぐいちきゅうきゅうにねんにぜろぜろにねん	1位を当てちゃいけまテンSPは過去10年のフジテレビの人気ドラマ瞬間最高視聴率ランキング1992年2002年
こーなーとちゅうでろんぐばけーしょんのところがはがれるはぷにんぐがおきた	コーナー途中でロングバケーションのところが剥がれるハプニングが起きた
しちょうりつはいちろくよん	視聴率は164
にぜろぜろさんねん	2003年
はるのたいかい	春の大会
ばんぐみめいわらってよいとも	番組名笑っていいとも
はるのさいてんすぺしゃる	春の祭典スペシャル
ほうそうにちにぜろぜろさんねんよんがつななかげつようひ	放送日2003年4月7日月曜日
そうごうしかいもりたかずよしなかいまさひろ	総合司会森田一義中居正広
しんこうふかざわりなふじてれびあなうんさーげんざいはたいしゃ	進行深澤里奈フジテレビアナウンサー現在は退社
あしすたんといわんじょんいわんそーんつぇふいわんじょんおこなーじょん	アシスタントイワンジョンイヴァンソーンツェフイワンジョンオコーナージョン
まるさ	マルサ
わらってよいとも	笑っていいとも
とちゅうさんか	途中参加
れっつできるかな	レッツできるかな
なにでもらんきんぐ	何でもランキング
いちいをあてていけまーてん	1位を当てちゃいけまテン
みためにだまされるな	見た目にダマされるな
ききにんげんばんづけ	きき人間番付
れっつできるかな	レッツできるかな
のとちゅうからばくしょうもんだいがさんかしおおたひかりはてつえーえぬでぃーとものまねした	の途中から爆笑問題が参加し太田光はテツandトモの真似した
ちーむのめんばーがはやくちことばをいーおわりらすとがおおたひかりでありどらまちーむのしもねたをにさんかいいーつずけてからはやくちことばをいーせいこうとなった	チームのメンバーが早口言葉を言い終わりラストが太田光でありドラマチームの下ネタを23回言い続けてから早口言葉を言い成功となった
なにでもらんきんぐ	何でもランキング
とつぎつぎにはつげんしていた	と次々に発言していた
にぜろぜろさんねんはるくーるをもってみずきゅうどらまわくがはいしされたためみずきゅうちーむはこんかいがさいごのしゅつじょうとなった	2003年春クールをもって水9ドラマ枠が廃止されたため水9チームは今回が最後の出場となった
まるさ	マルサ
とうきょうこくぜいきょくささつぶちーむがゆうしょうしえすみまきこがてーぶるくろすにちょうせんしせいこう	東京国税局査察部チームが優勝し江角マキコがテーブルクロスに挑戦し成功
しちょうりつはいちろくきゅう	視聴率は169
あきのたいかい	秋の大会
ばんぐみめいわらってよいとも	番組名笑っていいとも
あきのさいてんすぺしゃる	秋の祭典スペシャル
ほうそうにちにぜろぜろさんねんきゅうがつにきゅうにちげつようひ	放送日2003年9月29日月曜日
そうごうしかいもりたかずよしなかいまさひろ	総合司会森田一義中居正広
しんこううめずやえこふじてれびあなうんさー	進行梅津弥英子フジテレビアナウンサー
あしすたんといわんじょんいわんそーんつぇふいわんじょんおこなーじょん	アシスタントイワンジョンイヴァンソーンツェフイワンジョンオコーナージョン
はこいりむすめ	ハコイリムスメ
わらってよいとも	笑っていいとも
どらまさつえいのためとちゅうさんか	ドラマ撮影のため途中参加
なにでもらんきんぐいちいをあてていけまーてんえすぴー	なんでもランキング1位を当てちゃいけまテンSP
げすとはだいじなおきゃくさまえすぴー	ゲストは大事なお客様SP
でんごんげーむぎおんさい	伝言ゲーム擬音祭
れっつばらけましょー	レッツバラけまショー
わらういぬちーむはなんばらいがいがわらういぬでのこんときゃらくたーでさんか	笑う犬チームは南原以外が笑う犬でのコントキャラクターで参加
またよいともいがいのばらえてぃーちーむがたんどくちーむとしてさんせんするのはこんかいがはつ	またいいとも以外のバラエティチームが単独チームとして参戦するのは今回が初
おおたひかりがぼうとうでしろいきょとうにたいこうしてくろいきょこんとしもねたをしろいきょとうちーむはわらいごじつとうきょうすぽーつにおおたすらんぷ	太田光が冒頭で白い巨塔に対抗して黒い巨根と下ネタを白い巨塔チームは苦笑い後日東京スポーツに太田スランプ
ねたがうかばない	ネタが浮かばない
とけいさいされた	と掲載された
またこのかいはおおたのぼうげんがれんぱつ	またこの回は太田の暴言が連発
いけまーてんえすぴーではだいえっとしたひとにたいしけいむしょからしゅっしょしているだいじなおきゃくさまえすぴーにてわがおさむいんさんはきおくがきえちゃったかこのしっそうじけんをちゃかしたねたをいったり	いけまテンSPではダイエットした人に対し刑務所から出所している大事なお客様SPにて我修院さんは記憶が消えちゃった過去の失踪事件をちゃかしたネタを言ったり
そのばらけましょーであなたのとなりにだれかいるとよいともいがいのちーむはゆうしょうするかのうせいがでてきたさいしゅうもんだいはたもりのばんぐみは	そのバラけまショーであなたの隣に誰かいるといいとも以外のチームは優勝する可能性が出てきた最終問題はタモリの番組は
をしゅつだいしぎゃくてんできないあなたののゆうすけはそしします	を出題し逆転出来ないあなたの〜のユースケは阻止します
とはつげんしたもりくらぶとかいとうしはこいりとちょうふくした	と発言しタモリ倶楽部と解答しハコイリと重複した
びぎなーははるのさいてんとかいとうしびぎなーはゆいいつのとくてんならゆうしょうだがしろいきょとうちーむはよにもきみょうなものがたりをかいとうしゆうしょうした	ビギナーは春の祭典と解答しビギナーは唯一の得点なら優勝だが白い巨塔チームは世にも奇妙な物語を解答し優勝した
たなかゆうじがなかいのゆびのほうたいにきずきそのゆびどうしたの	田中裕二が中居の指の包帯に気づきその指どうしたの
とたずねたところくさやきゅうをやってこっせつしたとはじめてふくざつこっせつについてあかした	と尋ねた所草野球をやって骨折したと初めて複雑骨折について明かした
しろいきょとうちーむがゆうしょうしえぐちようすけがてーぶるくろすにちょうせんしせいこう	白い巨塔チームが優勝し江口洋介がテーブルクロスに挑戦し成功
しちょうりつはいちろくさん	視聴率は163
にぜろぜろよんねん	2004年
はるのたいかい	春の大会
ばんぐみめいわらってよいとも	番組名笑っていいとも
まんかいはるのさいてんすぺしゃる	満開春の祭典スペシャル
そうごうしかいもりたかずよしなかいまさひろ	総合司会森田一義中居正広
しんこうなかのみなこふじてれびあなうんさーげんざいはたいしゃ	進行中野美奈子フジテレビアナウンサー現在は退社
あしすたんといわんじょんいわんそーんつぇふいわんじょんおこなーじょん	アシスタントイワンジョンイヴァンソーンツェフイワンジョンオコーナージョン
わらってよいとも	笑っていいとも
あたまのたいそうぱにっくいちみにっつえすぴー	頭の体操パニック1ミニッツSP
にぜろぜろよん	2004
にゃにゃにゃみゅーじっく	ニャニャニャミュージック
あなたのしってるようでしらないいちいをあてていけまーてんえすぴー	あなたの知ってるようで知らない1位を当てちゃいけまテンSP
じぇすちゃげーむえすぴーたいむあいえすまねきん	ジェスチャゲームSPタイムisマネキン
いまたいかいからけいごちーむでのさんかになる	今大会から計5チームでの参加になる
いずみやがおおあばれをするがなかいがおまごさんもみてるからといったとたんいずみやがにこやかにわらうぱたーんがかくりつこのいちれんのながれははんとしごのあきのさいてんでもとうしゅうされた	泉谷が大暴れをするが中居がお孫さんも見てるからと言ったとたん泉谷がにこやかに笑うパターンが確立この1連の流れは半年後の秋の祭典でも踏襲された
やしまがとうじょうしてときにただしゃべっただけでわらわれぜんぜんおもしろくないよとげきど	八嶋が登場して時にただしゃべっただけで笑われぜんぜん面白くないよと激怒
そのあとたもりがそれでやしまくんいってみよーかとたかはしかつみのものまねでひろうしたとりびあのいずみすばらしきむだちしきでいっていたこと	その後タモリがそれじゃ八嶋君言ってみようかと高橋克実のモノマネで披露したトリビアの泉素晴らしきムダ知識で言っていたこと
にぜろぜろよんにてこたえがそりまちたかしのりゆうにつがわまさひこがほんばんまえそりまちくんがぼくにあいさつしてくれたからといった	2004にて答えが反町隆史の理由に津川雅彦が本番前反町君が僕に挨拶してくれたからといった
みむらとさまあずのみむらまさかずがはつきょうえんそのかんそうをもとめられみむらかよ	ミムラとさまぁ〜ずの三村マサカズが初共演その感想を求められ三村かよ
りこんべんごしちーむがゆうしょうしたまやまてつじがてーぶるくろすにちょうせんするがしっぱい	離婚弁護士チームが優勝し玉山鉄二がテーブルクロスに挑戦するが失敗
しちょうりつはいちななよん	視聴率は174
あきのたいかい	秋の大会
ばんぐみめいわらってよいとも	番組名笑っていいとも
にぜろぜろよんあきのさいてんえすぴー	2004秋の祭典SP
そうごうしかいもりたかずよしなかいまさひろ	総合司会森田一義中居正広
しんこうなかのみなこふじてれびあなうんさー	進行中野美奈子フジテレビアナウンサー
げんざいはたいしゃ	現在は退社
あしすたんといわんじょんいわんそーんつぇふいわんじょんおこなーじょん	アシスタントイワンジョンイヴァンソーンツェフイワンジョンオコーナージョン
わらってよいとも	笑っていいとも
にゃにゃにゃものまね	ニャニャニャものまね
はつかいさい	初開催
よいともあーちぇりーしょだいおうじゃはおだゆうじ	いいともアーチェリー初代王者は織田裕二
あなたのしってるようでしらないせかい	あなたの知ってるようで知らない世界
じぇすちゃーげーむえすぴーたいむあいえすまねきん	ジェスチャーげーむSPタイムisマネキン
よいともちーむはばくしょうもんだいがけっせき	いいともチームは爆笑問題が欠席
そのかわりにおすぎとぴーこがとうじょう	その代わりにおすぎとピーコが登場
みずかわあさみのおだいかめんらいだーがうるとらまんじゃいあんとばばなのにあんとにおちょきのものまねをしていた	水川あさみのお題仮面ライダーがウルトラマンジャイアント馬場なのにアントニオ猪木のものまねをしていた
しのはらりょうこがなかいくんのまいくがくさいからはつげん	篠原涼子が中居君のマイクが臭いから発言
そのあとおおおくちーむとのやりとりのときにたもりがなかいのところがねずみくさいとちゃかしていた	その後大奥チームとのやり取りの時にタモリが中居のところがネズミ臭いと茶化していた
よいともあーちぇりーにてたもりがよいとも	いいともアーチェリーにてタモリがいいとも
というところをまちがってあーちぇりーといってしまいじぶんのせりふをとられたなかいはたいかいとすかさずふぉろーこれらのやりとりはそのしゅうのわらってよいとも	という所を間違ってアーチェリーと言ってしまい自分のセリフをとられた中居は大会とすかさずフォローこれらのやり取りはその週の笑っていいとも
ぞうかんごうにてほんばんがおわってからなかいがたもりにだめだしをおこなったことをあかした	増刊号にて本番が終わってから中居がタモリにダメ出しを行ったことを明かした
